3   | 4   | 5   | 12  
5   | 12  | 13  | 30  
6   | 8   | 10  | 24  
7   | 24  | 25  | 56  
8   | 15  | 17  | 40  
9   | 40  | 41  | 90  
10  | 23  | 25  | 58  
11  | 60  | 61  | 132 
12  | 35  | 37  | 84  
13  | 84  | 85  | 182 
14  | 48  | 50  | 112 
15  | 112 | 113 | 240 
16  | 63  | 65  | 144 
17  | 144 | 145 | 306 
18  | 80  | 82  | 180 
19  | 180 | 181 | 380 
20  | 98  | 100 | 218 
21  | 220 | 221 | 462 
22  | 119 | 121 | 262 
23  | 264 | 265 | 552 
24  | 143 | 145 | 312 
25  | 312 | 313 | 650 
26  | 167 | 169 | 362 
27  | 364 | 365 | 756 
28  | 195 | 197 | 420 
29  | 420 | 421 | 870 
30  | 223 | 225 | 478 
31  | 480 | 481 | 992 
32  | 255 | 257 | 544 
33  | 544 | 545 | 1122
